¨κκκκκκκκκκκκκκκκκκκrand: 352
1s056:, TX, Ping, 1, 1,,
1s089:, RX, AnchorResponse, C, 1, -80
1s121:, TX, Ack, C, 1,,
1s154:, RX, AnchorResponse, A, 1, -83
1s185:, TX, Ack, A, 1,,
1s218:, RX, AnchorResponse, B, 1, -88
1s250:, TX, Ack, B, 1,,
2s059:, TX, Ping, 1, 2,,
2s092:, RX, AnchorResponse, C, 2, -80
2s125:, TX, Ack, C, 2,,
2s157:, RX, AnchorResponse, B, 2, -81
2s189:, TX, Ack, B, 2,,
2s222:, RX, AnchorResponse, A, 2, -83
2s253:, TX, Ack, A, 2,,
3s059:, TX, Ping, 1, 3,,
3s092:, RX, AnchorResponse, C, 3, -76
3s125:, TX, Ack, C, 3,,
3s157:, RX, AnchorResponse, B, 3, -80
3s189:, TX, Ack, B, 3,,
3s222:, RX, AnchorResponse, A, 3, -84
3s253:, TX, Ack, A, 3,,
4s059:, TX, Ping, 1, 4,,
4s092:, RX, AnchorResponse, C, 4, -75
4s125:, TX, Ack, C, 4,,
4s157:, RX, AnchorResponse, B, 4, -80
4s189:, TX, Ack, B, 4,,
4s222:, RX, AnchorResponse, A, 4, -86
4s253:, TX, Ack, A, 4,,
5s059:, TX, Ping, 1, 5,,
5s092:, RX, AnchorResponse, B, 5, -3149
6s059:, TX, Ping, 1, 6,,
6s092:, RX, AnchorResponse, C, 6, -76
6s125:, TX, Ack, C, 6,,
6s157:, RX, AnchorResponse, B, 6, -80
6s189:, TX, Ack, B, 6,,
6s222:, RX, AnchorResponse, A, 6, -89
6s253:, TX, Ack, A, 6,,
7s059:, TX, Ping, 1, 7,,
7s092:, RX, AnchorResponse, C, 7, -73
7s125:, TX, Ack, C, 7,,
7s157:, RX, AnchorResponse, B, 7, -78
7s189:, TX, Ack, B, 7,,
8s059:, TX, Ping, 1, 8,,
8s092:, RX, AnchorResponse, C, 8, -77
8s125:, TX, Ack, C, 8,,
8s157:, RX, AnchorResponse, B, 8, -79
8s189:, TX, Ack, B, 8,,
8s222:, RX, AnchorResponse, A, 8, -92
8s253:, TX, Ack, A, 8,,
9s059:, TX, Ping, 1, 9,,
9s092:, RX, AnchorResponse, C, 9, -74
9s125:, TX, Ack, C, 9,,
9s157:, RX, AnchorResponse, B, 9, -83
9s189:, TX, Ack, B, 9,,
9s222:, RX, AnchorResponse, A, 9, -86
9s253:, TX, Ack, A, 9,,
10s059:, TX, Ping, 1, 10,,
10s092:, RX, AnchorResponse, C, 10, -73
10s125:, TX, Ack, C, 10,,
10s157:, RX, AnchorResponse, B, 10, -83
10s189:, TX, Ack, B, 10,,
10s222:, RX, AnchorResponse, A, 10, -83
10s253:, TX, Ack, A, 10,,
11s059:, TX, Ping, 1, 11,,
11s092:, RX, AnchorResponse, C, 11, -76
11s125:, TX, Ack, C, 11,,
11s157:, RX, AnchorResponse, A, 11, -81
11s189:, TX, Ack, A, 11,,
11s222:, RX, AnchorResponse, B, 11, -85
11s253:, TX, Ack, B, 11,,
12s059:, TX, Ping, 1, 12,,
12s092:, RX, AnchorResponse, C, 12, -74
12s125:, TX, Ack, C, 12,,
12s157:, RX, AnchorResponse, A, 12, -81
12s189:, TX, Ack, A, 12,,
12s222:, RX, AnchorResponse, B, 12, -84
12s253:, TX, Ack, B, 12,,
13s059:, TX, Ping, 1, 13,,
13s092:, RX, AnchorResponse, C, 13, -72
13s125:, TX, Ack, C, 13,,
13s157:, RX, AnchorResponse, A, 13, -80
13s189:, TX, Ack, A, 13,,
13s222:, RX, AnchorResponse, B, 13, -83
13s253:, TX, Ack, B, 13,,
14s059:, TX, Ping, 1, 14,,
14s092:, RX, AnchorResponse, C, 14, -75
14s125:, TX, Ack, C, 14,,
14s157:, RX, AnchorResponse, A, 14, -83
15s059:, TX, Ping, 1, 15,,
15s092:, RX, AnchorResponse, C, 15, -76
15s125:, TX, Ack, C, 15,,
15s157:, RX, AnchorResponse, A, 15, -82
15s189:, TX, Ack, A, 15,,
15s222:, RX, AnchorResponse, B, 15, -83
15s253:, TX, Ack, B, 15,,
16s059:, TX, Ping, 1, 16,,
16s092:, RX, AnchorResponse, C, 16, -72
16s125:, TX, Ack, C, 16,,
16s157:, RX, AnchorResponse, B, 16, -82
16s189:, TX, Ack, B, 16,,
16s222:, RX, AnchorResponse, A, 16, -82
16s253:, TX, Ack, A, 16,,
17s059:, TX, Ping, 1, 17,,
17s092:, RX, AnchorResponse, C, 17, -72
17s125:, TX, Ack, C, 17,,
17s157:, RX, AnchorResponse, A, 17, -83
17s189:, TX, Ack, A, 17,,
17s222:, RX, AnchorResponse, B, 17, -83
17s253:, TX, Ack, B, 17,,
18s059:, TX, Ping, 1, 18,,
18s092:, RX, AnchorResponse, C, 18, -70
