137s059:, TX, Ping, 1, 137,,
137s092:, RX, AnchorResponse, C, 137, -59
137s125:, TX, Ack, C, 137,,
137s157:, RX, AnchorResponse, B, 137, -69
137s189:, TX, Ack, B, 137,,
137s222:, RX, AnchorResponse, A, 137, -85
137s253:, TX, Ack, A, 137,,
138s059:, TX, Ping, 1, 138,,
138s092:, RX, AnchorResponse, C, 138, -61
138s125:, TX, Ack, C, 138,,
138s157:, RX, AnchorResponse, B, 138, -65
138s189:, TX, Ack, B, 138,,
138s222:, RX, AnchorResponse, A, 138, -83
138s253:, TX, Ack, A, 138,,
139s059:, TX, Ping, 1, 139,,
139s092:, RX, AnchorResponse, B, 139, -66
139s125:, TX, Ack, B, 139,,
139s157:, RX, AnchorResponse, C, 139, -68
139s189:, TX, Ack, C, 139,,
139s222:, RX, AnchorResponse, A, 139, -83
139s253:, TX, Ack, A, 139,,
140s059:, TX, Ping, 1, 140,,
140s092:, RX, AnchorResponse, B, 140, -65
140s125:, TX, Ack, B, 140,,
140s157:, RX, AnchorResponse, C, 140, -68
140s189:, TX, Ack, C, 140,,
140s222:, RX, AnchorResponse, A, 140, -82
140s253:, TX, Ack, A, 140,,
141s059:, TX, Ping, 1, 141,,
141s092:, RX, AnchorResponse, B, 141, -64
141s125:, TX, Ack, B, 141,,
141s157:, RX, AnchorResponse, C, 141, -69
141s189:, TX, Ack, C, 141,,
141s222:, RX, AnchorResponse, A, 141, -80
141s253:, TX, Ack, A, 141,,
142s059:, TX, Ping, 1, 142,,
142s092:, RX, AnchorResponse, C, 142, -66
143s059:, TX, Ping, 1, 143,,
143s092:, RX, AnchorResponse, B, 143, -65
143s125:, TX, Ack, B, 143,,
143s157:, RX, AnchorResponse, C, 143, -69
143s189:, TX, Ack, C, 143,,
143s222:, RX, AnchorResponse, A, 143, -94
143s253:, TX, Ack, A, 143,,
144s059:, TX, Ping, 1, 144,,
144s092:, RX, AnchorResponse, B, 144, -63
144s125:, TX, Ack, B, 144,,
144s157:, RX, AnchorResponse, C, 144, -70
144s189:, TX, Ack, C, 144,,
144s222:, RX, AnchorResponse, A, 144, -84
144s253:, TX, Ack, A, 144,,
145s059:, TX, Ping, 1, 145,,
