,experiment,distance_m,mean_rssi_dbm,estimated_distance_m,error_dist_m,rel_error_dist,max_error_m,min_error_m,std_rel_error,mean_rel_error
20,02_2,50.0,-49.9741935483871,69.43985243354331,19.439852433543308,0.3887970486708662,19.439852433543308,-7.871573583584825,0.27095466503903154,0.032321476340965966
21,02_2,45.0,-47.867924528301884,52.68001074844611,7.680010748446108,0.17066690552102462,19.439852433543308,-7.871573583584825,0.27095466503903154,0.032321476340965966
22,02_2,40.0,-46.42758620689655,43.61251425082532,3.6125142508253205,0.09031285627063301,19.439852433543308,-7.871573583584825,0.27095466503903154,0.032321476340965966
23,02_2,35.0,-44.84027777777778,35.41650362175492,0.41650362175492006,0.011900103478712001,19.439852433543308,-7.871573583584825,0.27095466503903154,0.032321476340965966
24,02_2,30.0,-42.965986394557824,27.698425255802885,-2.301574744197115,-0.07671915813990383,19.439852433543308,-7.871573583584825,0.27095466503903154,0.032321476340965966
25,02_2,25.0,-41.61006289308176,23.186126959743675,-1.8138730402563255,-0.07255492161025302,19.439852433543308,-7.871573583584825,0.27095466503903154,0.032321476340965966
26,02_2,20.0,-36.66891891891892,12.128426416415175,-7.871573583584825,-0.3935786791792412,19.439852433543308,-7.871573583584825,0.27095466503903154,0.032321476340965966
27,02_2,15.0,-36.140127388535035,11.31584630389692,-3.6841536961030794,-0.24561024640687196,19.439852433543308,-7.871573583584825,0.27095466503903154,0.032321476340965966
28,02_2,10.0,-34.779310344827586,9.466326038865045,-0.533673961134955,-0.0533673961134955,19.439852433543308,-7.871573583584825,0.27095466503903154,0.032321476340965966
29,02_2,5.0,-33.02097902097902,7.516841254590947,2.516841254590947,0.5033682509181894,19.439852433543308,-7.871573583584825,0.27095466503903154,0.032321476340965966
