,anchor_id,gps_position_long,gps_position_lat,cart_position_x,cart_position_y,cart_rel_position_x,cart_rel_position_y
0,A,"12°21'57.332""E","51°20'54.213""N",1376568.536031973,6649762.653732982,0.0,0.0
1,B,"12°21'54.637""E","51°21'0.174""N",1376485.2010242818,6650057.004425088,-83.33500769129023,294.35069210547954
2,C,"12°21'43.948""E","51°21'0.72""N",1376154.6749028682,6650083.9661201695,-413.86112910485826,321.3123871870339
