,experiment,distance_m,mean_rssi_dbm,estimated_distance_m,error_dist_m,rel_error_dist,max_error_m,min_error_m,std_rel_error,mean_rel_error
10,02_1,5.0,-28.12676056338028,5.2285065250070275,0.2285065250070275,0.0457013050014055,6.553181007268442,-4.3356128373206015,0.1050763184938614,0.005233831790498832
11,02_1,10.0,-35.32515337423313,11.371956784437034,1.3719567844370335,0.13719567844370334,6.553181007268442,-4.3356128373206015,0.1050763184938614,0.005233831790498832
12,02_1,15.0,-37.22981366459627,13.967698515980219,-1.032301484019781,-0.06882009893465207,6.553181007268442,-4.3356128373206015,0.1050763184938614,0.005233831790498832
13,02_1,20.0,-38.291866028708135,15.664387162679398,-4.3356128373206015,-0.21678064186603008,6.553181007268442,-4.3356128373206015,0.1050763184938614,0.005233831790498832
14,02_1,25.0,-42.23809523809524,23.983409886078796,-1.016590113921204,-0.04066360455684816,6.553181007268442,-4.3356128373206015,0.1050763184938614,0.005233831790498832
15,02_1,30.0,-44.42051282051282,30.35440494376018,0.35440494376017995,0.011813498125339331,6.553181007268442,-4.3356128373206015,0.1050763184938614,0.005233831790498832
16,02_1,35.0,-46.5,37.99331466087445,2.9933146608744465,0.08552327602498419,6.553181007268442,-4.3356128373206015,0.1050763184938614,0.005233831790498832
17,02_1,40.0,-46.73372781065089,38.96406357677511,-1.0359364232248893,-0.025898410580622235,6.553181007268442,-4.3356128373206015,0.1050763184938614,0.005233831790498832
18,02_1,45.0,-48.004784688995215,44.694166324605284,-0.30583367539471595,-0.006796303897660354,6.553181007268442,-4.3356128373206015,0.1050763184938614,0.005233831790498832
19,02_1,50.0,-50.1849710982659,56.55318100726844,6.553181007268442,0.13106362014536885,6.553181007268442,-4.3356128373206015,0.1050763184938614,0.005233831790498832
