,experiment,max_error_m,min_error_m,std_rel_error,mean_rel_error,slope,intercept
0,01_2,11.008698961582276,-6.772401025117146,0.1967339604430538,0.018337194349770505,-20.872737094375886,-15.804954850628874
10,02_1,6.553181007268442,-4.3356128373206015,0.1050763184938614,0.005233831790498832,-21.331254524289214,-12.80286397407681
20,02_2,19.439852433543308,-7.871573583584825,0.27095466503903154,0.032321476340965966,-17.557665052756633,-17.63984326850011
30,07,60.427266759908036,-30.78084461135569,0.14541343904844373,0.008824980725071523,-26.444129185490443,-10.146522159494111
