245s060:, TX, Ping, 1, 245,,
245s093:, RX, AnchorResponse, A, 245, -49
245s125:, TX, Ack, A, 245,,
246s060:, TX, Ping, 1, 246,,
246s093:, RX, AnchorResponse, A, 246, -49
246s125:, TX, Ack, A, 246,,
247s060:, TX, Ping, 1, 247,,
247s093:, RX, AnchorResponse, A, 247, -49
247s125:, TX, Ack, A, 247,,
248s060:, TX, Ping, 1, 248,,
248s093:, RX, AnchorResponse, A, 248, -48
248s125:, TX, Ack, A, 248,,
249s060:, TX, Ping, 1, 249,,
249s093:, RX, AnchorResponse, A, 249, -49
249s125:, TX, Ack, A, 249,,
250s060:, TX, Ping, 1, 250,,
250s093:, RX, AnchorResponse, A, 250, -49
250s125:, TX, Ack, A, 250,,
251s060:, TX, Ping, 1, 251,,
251s093:, RX, AnchorResponse, A, 251, -49
251s125:, TX, Ack, A, 251,,
252s060:, TX, Ping, 1, 252,,
252s093:, RX, AnchorResponse, A, 252, -49
252s125:, TX, Ack, A, 252,,
253s060:, TX, Ping, 1, 253,,
253s093:, RX, AnchorResponse, A, 253, -49
253s125:, TX, Ack, A, 253,,
254s060:, TX, Ping, 1, 254,,
254s093:, RX, AnchorResponse, A, 254, -49
254s125:, TX, Ack, A, 254,,
255s060:, TX, Ping, 1, 255,,
255s093:, RX, AnchorResponse, A, 255, -49
255s125:, TX, Ack, A, 255,,
256s060:, TX, Ping, 1, 0,,
256s093:, RX, AnchorResponse, A, 0, -49
256s125:, TX, Ack, A, 0,,
257s060:, TX, Ping, 1, 1,,
257s093:, RX, AnchorResponse, A, 1, -49
257s125:, TX, Ack, A, 1,,
258s060:, TX, Ping, 1, 2,,
258s093:, RX, AnchorResponse, A, 2, -50
258s125:, TX, Ack, A, 2,,
259s060:, TX, Ping, 1, 3,,
259s093:, RX, AnchorResponse, A, 3, -49
259s125:, TX, Ack, A, 3,,
260s060:, TX, Ping, 1, 4,,
260s093:, RX, AnchorResponse, A, 4, -48
260s125:, TX, Ack, A, 4,,
261s060:, TX, Ping, 1, 5,,
261s093:, RX, AnchorResponse, A, 5, -49
261s125:, TX, Ack, A, 5,,
262s060:, TX, Ping, 1, 6,,
262s093:, RX, AnchorResponse, A, 6, -48
262s125:, TX, Ack, A, 6,,
263s060:, TX, Ping, 1, 7,,
263s093:, RX, AnchorResponse, A, 7, -49
263s125:, TX, Ack, A, 7,,
264s060:, TX, Ping, 1, 8,,
264s093:, RX, AnchorResponse, A, 8, -48
264s125:, TX, Ack, A, 8,,
265s060:, TX, Ping, 1, 9,,
265s093:, RX, AnchorResponse, A, 9, -49
265s125:, TX, Ack, A, 9,,
266s060:, TX, Ping, 1, 10,,
266s093:, RX, AnchorResponse, A, 10, -49
266s125:, TX, Ack, A, 10,,
267s060:, TX, Ping, 1, 11,,
267s093:, RX, AnchorResponse, A, 11, -49
267s125:, TX, Ack, A, 11,,
268s060:, TX, Ping, 1, 12,,
268s093:, RX, AnchorResponse, A, 12, -48
268s125:, TX, Ack, A, 12,,
269s060:, TX, Ping, 1, 13,,
269s093:, RX, AnchorResponse, A, 13, -48
269s125:, TX, Ack, A, 13,,
270s060:, TX, Ping, 1, 14,,
270s093:, RX, AnchorResponse, A, 14, -48
270s125:, TX, Ack, A, 14,,
271s060:, TX, Ping, 1, 15,,
271s093:, RX, AnchorResponse, A, 15, -48
271s125:, TX, Ack, A, 15,,
272s060:, TX, Ping, 1, 16,,
272s093:, RX, AnchorResponse, A, 16, -48
272s125:, TX, Ack, A, 16,,
273s060:, TX, Ping, 1, 17,,
273s093:, RX, AnchorResponse, A, 17, -48
273s125:, TX, Ack, A, 17,,
274s060:, TX, Ping, 1, 18,,
274s093:, RX, AnchorResponse, A, 18, -48
274s125:, TX, Ack, A, 18,,
275s060:, TX, Ping, 1, 19,,
275s093:, RX, AnchorResponse, A, 19, -48
275s125:, TX, Ack, A, 19,,
276s060:, TX, Ping, 1, 20,,
276s093:, RX, AnchorResponse, A, 20, -48
276s125:, TX, Ack, A, 20,,
277s060:, TX, Ping, 1, 21,,
277s093:, RX, AnchorResponse, A, 21, -49
277s125:, TX, Ack, A, 21,,
278s060:, TX, Ping, 1, 22,,
278s093:, RX, AnchorResponse, A, 22, -49
278s125:, TX, Ack, A, 22,,
279s060:, TX, Ping, 1, 23,,
279s093:, RX, AnchorResponse, A, 23, -49
279s125:, TX, Ack, A, 23,,
280s060:, TX, Ping, 1, 24,,
280s093:, RX, AnchorResponse, A, 24, -49
280s125:, TX, Ack, A, 24,,
281s060:, TX, Ping, 1, 25,,
281s093:, RX, AnchorResponse, A, 25, -49
281s125:, TX, Ack, A, 25,,
282s060:, TX, Ping, 1, 26,,
282s093:, RX, AnchorResponse, A, 26, -49
282s125:, TX, Ack, A, 26,,
283s060:, TX, Ping, 1, 27,,
283s093:, RX, AnchorResponse, A, 27, -48
283s125:, TX, Ack, A, 27,,
284s060:, TX, Ping, 1, 28,,
284s093:, RX, AnchorResponse, A, 28, -49
284s125:, TX, Ack, A, 28,,
285s060:, TX, Ping, 1, 29,,
285s093:, RX, AnchorResponse, A, 29, -49
285s125:, TX, Ack, A, 29,,
286s060:, TX, Ping, 1, 30,,
286s093:, RX, AnchorResponse, A, 30, -49
286s125:, TX, Ack, A, 30,,
287s060:, TX, Ping, 1, 31,,
287s093:, RX, AnchorResponse, A, 31, -49
287s125:, TX, Ack, A, 31,,
288s060:, TX, Ping, 1, 32,,
288s093:, RX, AnchorResponse, A, 32, -49
288s125:, TX, Ack, A, 32,,
289s060:, TX, Ping, 1, 33,,
289s093:, RX, AnchorResponse, A, 33, -49
289s125:, TX, Ack, A, 33,,
290s060:, TX, Ping, 1, 34,,
290s093:, RX, AnchorResponse, A, 34, -49
290s125:, TX, Ack, A, 34,,
291s060:, TX, Ping, 1, 35,,
291s093:, RX, AnchorResponse, A, 35, -48
291s125:, TX, Ack, A, 35,,
292s060:, TX, Ping, 1, 36,,
292s093:, RX, AnchorResponse, A, 36, -49
292s125:, TX, Ack, A, 36,,
293s060:, TX, Ping, 1, 37,,
293s093:, RX, AnchorResponse, A, 37, -49
293s125:, TX, Ack, A, 37,,
294s060:, TX, Ping, 1, 38,,
294s093:, RX, AnchorResponse, A, 38, -49
294s125:, TX, Ack, A, 38,,
295s060:, TX, Ping, 1, 39,,
295s093:, RX, AnchorResponse, A, 39, -49
295s125:, TX, Ack, A, 39,,
296s060:, TX, Ping, 1, 40,,
296s093:, RX, AnchorResponse, A, 40, -48
296s125:, TX, Ack, A, 40,,
297s060:, TX, Ping, 1, 41,,
297s093:, RX, AnchorResponse, A, 41, -48
297s125:, TX, Ack, A, 41,,
298s060:, TX, Ping, 1, 42,,
298s093:, RX, AnchorResponse, A, 42, -48
298s125:, TX, Ack, A, 42,,
299s060:, TX, Ping, 1, 43,,
299s093:, RX, AnchorResponse, A, 43, -48
299s125:, TX, Ack, A, 43,,
