166s060:, TX, Ping, 1, 166,,
166s093:, RX, AnchorResponse, A, 166, -43
166s125:, TX, Ack, A, 166,,
167s060:, TX, Ping, 1, 167,,
167s093:, RX, AnchorResponse, A, 167, -44
167s125:, TX, Ack, A, 167,,
168s060:, TX, Ping, 1, 168,,
168s093:, RX, AnchorResponse, A, 168, -44
168s125:, TX, Ack, A, 168,,
169s060:, TX, Ping, 1, 169,,
169s093:, RX, AnchorResponse, A, 169, -46
169s125:, TX, Ack, A, 169,,
170s060:, TX, Ping, 1, 170,,
170s093:, RX, AnchorResponse, A, 170, -45
170s125:, TX, Ack, A, 170,,
171s060:, TX, Ping, 1, 171,,
171s093:, RX, AnchorResponse, A, 171, -46
171s125:, TX, Ack, A, 171,,
172s060:, TX, Ping, 1, 172,,
172s093:, RX, AnchorResponse, A, 172, -45
172s125:, TX, Ack, A, 172,,
173s060:, TX, Ping, 1, 173,,
173s093:, RX, AnchorResponse, A, 173, -45
173s125:, TX, Ack, A, 173,,
174s060:, TX, Ping, 1, 174,,
174s093:, RX, AnchorResponse, A, 174, -45
174s125:, TX, Ack, A, 174,,
175s060:, TX, Ping, 1, 175,,
175s093:, RX, AnchorResponse, A, 175, -46
175s125:, TX, Ack, A, 175,,
176s060:, TX, Ping, 1, 176,,
176s093:, RX, AnchorResponse, A, 176, -45
176s125:, TX, Ack, A, 176,,
177s060:, TX, Ping, 1, 177,,
177s093:, RX, AnchorResponse, A, 177, -46
177s125:, TX, Ack, A, 177,,
178s060:, TX, Ping, 1, 178,,
178s093:, RX, AnchorResponse, A, 178, -46
178s125:, TX, Ack, A, 178,,
179s060:, TX, Ping, 1, 179,,
179s093:, RX, AnchorResponse, A, 179, -46
179s125:, TX, Ack, A, 179,,
180s060:, TX, Ping, 1, 180,,
180s093:, RX, AnchorResponse, A, 180, -46
180s125:, TX, Ack, A, 180,,
181s060:, TX, Ping, 1, 181,,
181s093:, RX, AnchorResponse, A, 181, -46
181s125:, TX, Ack, A, 181,,
182s060:, TX, Ping, 1, 182,,
182s093:, RX, AnchorResponse, A, 182, -46
182s125:, TX, Ack, A, 182,,
183s060:, TX, Ping, 1, 183,,
183s093:, RX, AnchorResponse, A, 183, -46
183s125:, TX, Ack, A, 183,,
184s060:, TX, Ping, 1, 184,,
184s093:, RX, AnchorResponse, A, 184, -46
184s125:, TX, Ack, A, 184,,
185s060:, TX, Ping, 1, 185,,
185s093:, RX, AnchorResponse, A, 185, -45
185s125:, TX, Ack, A, 185,,
186s060:, TX, Ping, 1, 186,,
186s093:, RX, AnchorResponse, A, 186, -45
186s125:, TX, Ack, A, 186,,
187s060:, TX, Ping, 1, 187,,
187s093:, RX, AnchorResponse, A, 187, -45
187s125:, TX, Ack, A, 187,,
188s060:, TX, Ping, 1, 188,,
188s093:, RX, AnchorResponse, A, 188, -44
188s125:, TX, Ack, A, 188,,
189s060:, TX, Ping, 1, 189,,
189s093:, RX, AnchorResponse, A, 189, -45
189s125:, TX, Ack, A, 189,,
190s060:, TX, Ping, 1, 190,,
190s093:, RX, AnchorResponse, A, 190, -46
190s125:, TX, Ack, A, 190,,
191s060:, TX, Ping, 1, 191,,
191s093:, RX, AnchorResponse, A, 191, -46
191s125:, TX, Ack, A, 191,,
192s060:, TX, Ping, 1, 192,,
192s093:, RX, AnchorResponse, A, 192, -46
192s125:, TX, Ack, A, 192,,
193s060:, TX, Ping, 1, 193,,
193s093:, RX, AnchorResponse, A, 193, -46
193s125:, TX, Ack, A, 193,,
194s060:, TX, Ping, 1, 194,,
194s093:, RX, AnchorResponse, A, 194, -46
194s125:, TX, Ack, A, 194,,
195s060:, TX, Ping, 1, 195,,
195s093:, RX, AnchorResponse, A, 195, -46
195s125:, TX, Ack, A, 195,,
196s060:, TX, Ping, 1, 196,,
196s093:, RX, AnchorResponse, A, 196, -46
196s125:, TX, Ack, A, 196,,
197s060:, TX, Ping, 1, 197,,
197s093:, RX, AnchorResponse, A, 197, -46
197s125:, TX, Ack, A, 197,,
198s060:, TX, Ping, 1, 198,,
198s093:, RX, AnchorResponse, A, 198, -46
198s125:, TX, Ack, A, 198,,
199s060:, TX, Ping, 1, 199,,
199s093:, RX, AnchorResponse, A, 199, -46
199s125:, TX, Ack, A, 199,,
200s060:, TX, Ping, 1, 200,,
200s093:, RX, AnchorResponse, A, 200, -46
200s125:, TX, Ack, A, 200,,
201s060:, TX, Ping, 1, 201,,
201s093:, RX, AnchorResponse, A, 201, -46
201s125:, TX, Ack, A, 201,,
202s060:, TX, Ping, 1, 202,,
202s093:, RX, AnchorResponse, A, 202, -46
202s125:, TX, Ack, A, 202,,
203s060:, TX, Ping, 1, 203,,
203s093:, RX, AnchorResponse, A, 203, -46
203s125:, TX, Ack, A, 203,,
204s060:, TX, Ping, 1, 204,,
204s093:, RX, AnchorResponse, A, 204, -46
204s125:, TX, Ack, A, 204,,
205s060:, TX, Ping, 1, 205,,
205s093:, RX, AnchorResponse, A, 205, -46
205s125:, TX, Ack, A, 205,,
206s060:, TX, Ping, 1, 206,,
206s093:, RX, AnchorResponse, A, 206, -46
206s125:, TX, Ack, A, 206,,
207s060:, TX, Ping, 1, 207,,
207s093:, RX, AnchorResponse, A, 207, -46
207s125:, TX, Ack, A, 207,,
208s060:, TX, Ping, 1, 208,,
208s093:, RX, AnchorResponse, A, 208, -45
208s125:, TX, Ack, A, 208,,
