696s060:, TX, Ping, 1, 184,,
696s093:, RX, AnchorResponse, A, 184, -60
696s125:, TX, Ack, A, 184,,
697s060:, TX, Ping, 1, 185,,
697s093:, RX, AnchorResponse, A, 185, -60
697s125:, TX, Ack, A, 185,,
698s060:, TX, Ping, 1, 186,,
698s093:, RX, AnchorResponse, A, 186, -60
698s125:, TX, Ack, A, 186,,
699s060:, TX, Ping, 1, 187,,
699s093:, RX, AnchorResponse, A, 187, -60
699s125:, TX, Ack, A, 187,,
700s060:, TX, Ping, 1, 188,,
700s093:, RX, AnchorResponse, A, 188, -60
700s125:, TX, Ack, A, 188,,
701s060:, TX, Ping, 1, 189,,
701s093:, RX, AnchorResponse, A, 189, -60
701s125:, TX, Ack, A, 189,,
702s060:, TX, Ping, 1, 190,,
702s093:, RX, AnchorResponse, A, 190, -60
702s125:, TX, Ack, A, 190,,
703s060:, TX, Ping, 1, 191,,
703s093:, RX, AnchorResponse, A, 191, -60
703s125:, TX, Ack, A, 191,,
704s060:, TX, Ping, 1, 192,,
704s093:, RX, AnchorResponse, A, 192, -60
704s125:, TX, Ack, A, 192,,
705s060:, TX, Ping, 1, 193,,
705s093:, RX, AnchorResponse, A, 193, -60
705s125:, TX, Ack, A, 193,,
706s060:, TX, Ping, 1, 194,,
706s093:, RX, AnchorResponse, A, 194, -60
706s125:, TX, Ack, A, 194,,
707s060:, TX, Ping, 1, 195,,
707s093:, RX, AnchorResponse, A, 195, -60
707s125:, TX, Ack, A, 195,,
708s060:, TX, Ping, 1, 196,,
708s093:, RX, AnchorResponse, A, 196, -60
708s125:, TX, Ack, A, 196,,
709s060:, TX, Ping, 1, 197,,
709s093:, RX, AnchorResponse, A, 197, -60
709s125:, TX, Ack, A, 197,,
710s060:, TX, Ping, 1, 198,,
710s093:, RX, AnchorResponse, A, 198, -61
710s125:, TX, Ack, A, 198,,
711s060:, TX, Ping, 1, 199,,
711s093:, RX, AnchorResponse, A, 199, -60
711s125:, TX, Ack, A, 199,,
712s060:, TX, Ping, 1, 200,,
712s093:, RX, AnchorResponse, A, 200, -60
712s125:, TX, Ack, A, 200,,
713s060:, TX, Ping, 1, 201,,
713s093:, RX, AnchorResponse, A, 201, -60
713s125:, TX, Ack, A, 201,,
714s060:, TX, Ping, 1, 202,,
714s093:, RX, AnchorResponse, A, 202, -60
714s125:, TX, Ack, A, 202,,
715s060:, TX, Ping, 1, 203,,
715s093:, RX, AnchorResponse, A, 203, -60
715s125:, TX, Ack, A, 203,,
716s060:, TX, Ping, 1, 204,,
716s093:, RX, AnchorResponse, A, 204, -60
716s125:, TX, Ack, A, 204,,
717s060:, TX, Ping, 1, 205,,
717s093:, RX, AnchorResponse, A, 205, -60
717s125:, TX, Ack, A, 205,,
718s060:, TX, Ping, 1, 206,,
718s093:, RX, AnchorResponse, A, 206, -60
718s125:, TX, Ack, A, 206,,
719s060:, TX, Ping, 1, 207,,
719s093:, RX, AnchorResponse, A, 207, -60
719s125:, TX, Ack, A, 207,,
720s060:, TX, Ping, 1, 208,,
720s093:, RX, AnchorResponse, A, 208, -60
720s125:, TX, Ack, A, 208,,
721s060:, TX, Ping, 1, 209,,
721s093:, RX, AnchorResponse, A, 209, -60
721s125:, TX, Ack, A, 209,,
722s060:, TX, Ping, 1, 210,,
722s093:, RX, AnchorResponse, A, 210, -60
722s125:, TX, Ack, A, 210,,
723s060:, TX, Ping, 1, 211,,
723s093:, RX, AnchorResponse, A, 211, -60
723s125:, TX, Ack, A, 211,,
724s060:, TX, Ping, 1, 212,,
724s093:, RX, AnchorResponse, A, 212, -60
724s125:, TX, Ack, A, 212,,
725s060:, TX, Ping, 1, 213,,
725s093:, RX, AnchorResponse, A, 213, -60
725s125:, TX, Ack, A, 213,,
726s060:, TX, Ping, 1, 214,,
726s093:, RX, AnchorResponse, A, 214, -60
726s125:, TX, Ack, A, 214,,
727s060:, TX, Ping, 1, 215,,
727s093:, RX, AnchorResponse, A, 215, -60
727s125:, TX, Ack, A, 215,,
728s060:, TX, Ping, 1, 216,,
728s093:, RX, AnchorResponse, A, 216, -60
728s125:, TX, Ack, A, 216,,
729s060:, TX, Ping, 1, 217,,
729s093:, RX, AnchorResponse, A, 217, -60
729s125:, TX, Ack, A, 217,,
730s060:, TX, Ping, 1, 218,,
730s093:, RX, AnchorResponse, A, 218, -60
730s125:, TX, Ack, A, 218,,
731s060:, TX, Ping, 1, 219,,
731s093:, RX, AnchorResponse, A, 219, -60
731s125:, TX, Ack, A, 219,,
732s060:, TX, Ping, 1, 220,,
732s093:, RX, AnchorResponse, A, 220, -60
732s125:, TX, Ack, A, 220,,
733s060:, TX, Ping, 1, 221,,
733s093:, RX, AnchorResponse, A, 221, -61
733s125:, TX, Ack, A, 221,,
734s060:, TX, Ping, 1, 222,,
734s093:, RX, AnchorResponse, A, 222, -60
734s125:, TX, Ack, A, 222,,
735s060:, TX, Ping, 1, 223,,
735s093:, RX, AnchorResponse, A, 223, -60
735s125:, TX, Ack, A, 223,,
736s060:, TX, Ping, 1, 224,,
736s093:, RX, AnchorResponse, A, 224, -60
736s125:, TX, Ack, A, 224,,
737s060:, TX, Ping, 1, 225,,
737s093:, RX, AnchorResponse, A, 225, -60
737s125:, TX, Ack, A, 225,,
738s060:, TX, Ping, 1, 226,,
738s093:, RX, AnchorResponse, A, 226, -60
738s125:, TX, Ack, A, 226,,
739s060:, TX, Ping, 1, 227,,
739s093:, RX, AnchorResponse, A, 227, -60
739s125:, TX, Ack, A, 227,,
740s060:, TX, Ping, 1, 228,,
740s093:, RX, AnchorResponse, A, 228, -60
740s125:, TX, Ack, A, 228,,
741s060:, TX, Ping, 1, 229,,
741s093:, RX, AnchorResponse, A, 229, -60
741s125:, TX, Ack, A, 229,,
742s060:, TX, Ping, 1, 230,,
742s093:, RX, AnchorResponse, A, 230, -60
742s125:, TX, Ack, A, 230,,
743s060:, TX, Ping, 1, 231,,
743s093:, RX, AnchorResponse, A, 231, -60
743s125:, TX, Ack, A, 231,,
744s060:, TX, Ping, 1, 232,,
744s093:, RX, AnchorResponse, A, 232, -60
744s125:, TX, Ack, A, 232,,
745s060:, TX, Ping, 1, 233,,
745s093:, RX, AnchorResponse, A, 233, -60
745s125:, TX, Ack, A, 233,,
746s060:, TX, Ping, 1, 234,,
746s093:, RX, AnchorResponse, A, 234, -60
746s125:, TX, Ack, A, 234,,
747s060:, TX, Ping, 1, 235,,
747s093:, RX, AnchorResponse, A, 235, -60
747s125:, TX, Ack, A, 235,,
748s060:, TX, Ping, 1, 236,,
748s093:, RX, AnchorResponse, A, 236, -60
748s125:, TX, Ack, A, 236,,
749s060:, TX, Ping, 1, 237,,
749s093:, RX, AnchorResponse, A, 237, -60
749s125:, TX, Ack, A, 237,,
750s060:, TX, Ping, 1, 238,,
750s093:, RX, AnchorResponse, A, 238, -60
750s125:, TX, Ack, A, 238,,
751s060:, TX, Ping, 1, 239,,
751s093:, RX, AnchorResponse, A, 239, -60
751s125:, TX, Ack, A, 239,,
752s060:, TX, Ping, 1, 240,,
752s093:, RX, AnchorResponse, A, 240, -60
752s125:, TX, Ack, A, 240,,
753s060:, TX, Ping, 1, 241,,
753s093:, RX, AnchorResponse, A, 241, -60
753s125:, TX, Ack, A, 241,,
754s060:, TX, Ping, 1, 242,,
754s093:, RX, AnchorResponse, A, 242, -60
754s125:, TX, Ack, A, 242,,
755s060:, TX, Ping, 1, 243,,
755s093:, RX, AnchorResponse, A, 243, -59
755s125:, TX, Ack, A, 243,,
756s060:, TX, Ping, 1, 244,,
756s093:, RX, AnchorResponse, A, 244, -60
756s125:, TX, Ack, A, 244,,
757s060:, TX, Ping, 1, 245,,
757s093:, RX, AnchorResponse, A, 245, -59
757s125:, TX, Ack, A, 245,,
758s060:, TX, Ping, 1, 246,,
758s093:, RX, AnchorResponse, A, 246, -60
758s125:, TX, Ack, A, 246,,
759s060:, TX, Ping, 1, 247,,
759s093:, RX, AnchorResponse, A, 247, -60
759s125:, TX, Ack, A, 247,,
760s060:, TX, Ping, 1, 248,,
760s093:, RX, AnchorResponse, A, 248, -60
760s125:, TX, Ack, A, 248,,
761s060:, TX, Ping, 1, 249,,
761s093:, RX, AnchorResponse, A, 249, -60
761s125:, TX, Ack, A, 249,,
762s060:, TX, Ping, 1, 250,,
762s093:, RX, AnchorResponse, A, 250, -60
762s125:, TX, Ack, A, 250,,
763s060:, TX, Ping, 1, 251,,
763s093:, RX, AnchorResponse, A, 251, -60
763s125:, TX, Ack, A, 251,,
764s060:, TX, Ping, 1, 252,,
764s093:, RX, AnchorResponse, A, 252, -60
764s125:, TX, Ack, A, 252,,
