1004s060:, TX, Ping, 1, 236,,
1004s093:, RX, AnchorResponse, A, 236, -63
1004s125:, TX, Ack, A, 236,,
1005s060:, TX, Ping, 1, 237,,
1005s093:, RX, AnchorResponse, A, 237, -61
1005s125:, TX, Ack, A, 237,,
1006s060:, TX, Ping, 1, 238,,
1006s093:, RX, AnchorResponse, A, 238, -62
1006s125:, TX, Ack, A, 238,,
1007s060:, TX, Ping, 1, 239,,
1007s093:, RX, AnchorResponse, A, 239, -63
1007s125:, TX, Ack, A, 239,,
1008s060:, TX, Ping, 1, 240,,
1008s093:, RX, AnchorResponse, A, 240, -63
1008s125:, TX, Ack, A, 240,,
1009s060:, TX, Ping, 1, 241,,
1009s093:, RX, AnchorResponse, A, 241, -62
1009s125:, TX, Ack, A, 241,,
1010s060:, TX, Ping, 1, 242,,
1010s093:, RX, AnchorResponse, A, 242, -63
1010s125:, TX, Ack, A, 242,,
1011s060:, TX, Ping, 1, 243,,
1011s093:, RX, AnchorResponse, A, 243, -63
1011s125:, TX, Ack, A, 243,,
1012s060:, TX, Ping, 1, 244,,
1012s093:, RX, AnchorResponse, A, 244, -63
1012s125:, TX, Ack, A, 244,,
1013s060:, TX, Ping, 1, 245,,
1013s093:, RX, AnchorResponse, A, 245, -63
1013s125:, TX, Ack, A, 245,,
1014s060:, TX, Ping, 1, 246,,
1014s093:, RX, AnchorResponse, A, 246, -62
1014s125:, TX, Ack, A, 246,,
1015s060:, TX, Ping, 1, 247,,
1015s093:, RX, AnchorResponse, A, 247, -63
1015s125:, TX, Ack, A, 247,,
1016s060:, TX, Ping, 1, 248,,
1016s093:, RX, AnchorResponse, A, 248, -62
1016s125:, TX, Ack, A, 248,,
1017s060:, TX, Ping, 1, 249,,
1017s093:, RX, AnchorResponse, A, 249, -62
1017s125:, TX, Ack, A, 249,,
1018s060:, TX, Ping, 1, 250,,
1018s093:, RX, AnchorResponse, A, 250, -62
1018s125:, TX, Ack, A, 250,,
1019s060:, TX, Ping, 1, 251,,
1019s093:, RX, AnchorResponse, A, 251, -63
1019s125:, TX, Ack, A, 251,,
1020s060:, TX, Ping, 1, 252,,
1020s093:, RX, AnchorResponse, A, 252, -63
1020s125:, TX, Ack, A, 252,,
1021s060:, TX, Ping, 1, 253,,
1021s093:, RX, AnchorResponse, A, 253, -62
1021s125:, TX, Ack, A, 253,,
1022s060:, TX, Ping, 1, 254,,
1022s093:, RX, AnchorResponse, A, 254, -63
1022s125:, TX, Ack, A, 254,,
1023s060:, TX, Ping, 1, 255,,
1023s093:, RX, AnchorResponse, A, 255, -63
1023s125:, TX, Ack, A, 255,,
1024s060:, TX, Ping, 1, 0,,
1024s093:, RX, AnchorResponse, A, 0, -63
1024s125:, TX, Ack, A, 0,,
1025s060:, TX, Ping, 1, 1,,
1025s093:, RX, AnchorResponse, A, 1, -63
1025s125:, TX, Ack, A, 1,,
1026s060:, TX, Ping, 1, 2,,
1026s093:, RX, AnchorResponse, A, 2, -63
1026s125:, TX, Ack, A, 2,,
1027s060:, TX, Ping, 1, 3,,
1027s093:, RX, AnchorResponse, A, 3, -63
1027s125:, TX, Ack, A, 3,,
1028s060:, TX, Ping, 1, 4,,
1028s093:, RX, AnchorResponse, A, 4, -63
1028s125:, TX, Ack, A, 4,,
